timestamp,Rad_avg,Tamb_avg,Tmod_avg,Rad_max,Tamb_max,Tmod_max,Rad_min,Tamb_min,Tmod_min,Rad_std,Tamb_std,Tmod_std,Pa1
2019-07-04 15:00:00+00:00,741.6571428571427,29.72857142857143,45.307142857142864,745.8,30.4,45.6,734.9,28.8,44.6,3.617843447247415,0.490570423751106,0.33389147411025005,21467.743571428575
2019-07-04 15:10:00+00:00,724.3699999999999,28.72,43.36,730.0,29.4,44.2,719.0,28.0,42.3,3.7416722345912423,0.3705851229249928,0.7074209810603922,21166.85
2019-07-04 15:20:00+00:00,699.0923076923077,29.630769230769236,42.03076923076923,714.1,30.1,42.3,688.5,28.9,41.7,7.898044223990157,0.379439532698372,0.2175033156245997,20519.655384615387
2019-07-04 15:30:00+00:00,683.6733333333334,30.18,42.473333333333336,690.9,31.4,42.8,672.6,29.0,42.1,7.035671017512586,0.6971370023173343,0.22824381283013465,19914.442666666673
2019-07-04 15:40:00+00:00,657.6649999999998,31.695000000000004,43.355000000000004,671.4,32.4,43.6,643.3,31.2,42.7,8.503329069438484,0.37623480910057583,0.2704285098641929,19141.30449999999
2019-07-04 15:50:00+00:00,627.4416666666666,30.450000000000003,42.70000000000001,642.1,31.9,43.2,610.4,29.3,42.0,8.672155895669079,0.9180017825294631,0.41995670772549193,18378.852500000005
2019-07-04 16:00:00+00:00,596.925,30.9375,41.8875,611.6,32.7,42.3,582.3,30.0,41.4,8.186940820599592,0.8883505314157625,0.27049337638224386,17574.480625000004
2019-07-04 16:10:00+00:00,566.4875000000001,30.618750000000002,41.50625,582.3,32.6,42.0,555.4,29.3,41.2,9.998791593654426,1.027760510365458,0.281587760150666,16743.143125000002
2019-07-04 16:20:00+00:00,539.6250000000001,30.468750000000007,40.75,553.0,32.2,41.4,523.7,29.5,39.9,9.229481747819516,0.88145239992488,0.4953113498935173,15982.511875
2019-07-04 16:30:00+00:00,508.2250000000001,29.975000000000005,39.4,522.5,31.8,40.0,487.1,28.8,38.4,12.236467478959634,1.1763773358763923,0.5081159495448052,15148.784166666666
2019-07-04 16:40:00+00:00,469.67499999999995,30.74166666666667,38.141666666666666,484.6,31.8,38.4,451.7,29.1,37.8,10.90180343712995,0.8360712598308542,0.17816403745544288,14015.141666666668
2019-07-04 16:50:00+00:00,441.0142857142858,30.414285714285718,37.40714285714286,451.7,31.8,37.6,430.9,29.1,37.1,7.195175428754273,0.8309930508430557,0.1439245834257856,13240.639285714284
2019-07-04 17:00:00+00:00,402.4222222222222,30.22222222222222,36.705555555555556,419.9,31.0,37.1,387.0,29.6,36.4,9.934346572878678,0.41381376253739877,0.2182071930183983,12075.691666666668
2019-07-04 17:10:00+00:00,375.0444444444444,30.555555555555557,36.300000000000004,384.5,31.4,36.5,357.7,29.6,36.1,10.436607579945582,0.5725188012439212,0.15000000000000205,11295.026666666667
2019-07-04 17:20:00+00:00,336.5,29.59333333333333,35.14,352.8,30.7,35.7,319.8,28.8,34.3,11.399122773266383,0.5444088099773479,0.3960519446450705,10175.189333333336
2019-07-04 17:30:00+00:00,303.34499999999997,29.225,33.91499999999999,318.6,30.1,34.6,289.3,28.5,33.2,9.343811630671627,0.4821825380496474,0.47713509065760096,9220.5655
2019-07-04 17:40:00+00:00,277.2,29.25384615384615,32.738461538461536,286.9,29.9,33.2,263.7,28.1,32.2,7.647657593450853,0.5606772461576927,0.3452980874994403,8487.01846153846
2019-07-04 17:50:00+00:00,243.64000000000001,28.440000000000005,31.54,256.3,28.9,32.1,230.7,28.2,31.0,9.648511687186673,0.22211108331943588,0.3470510689285414,7428.8009999999995
2019-07-04 18:00:00+00:00,214.45833333333334,28.533333333333335,30.775000000000002,228.3,28.8,31.0,200.2,28.1,30.4,11.167685389985554,0.26742316936860816,0.21373305355470423,6585.686666666668
2019-07-04 18:10:00+00:00,183.6285714285714,28.32857142857143,29.942857142857143,195.3,28.9,30.4,167.2,28.0,29.5,9.692298970866466,0.2614414816964747,0.2737609448863279,5640.874285714285
2019-07-04 18:20:00+00:00,148.30714285714285,26.95,28.535714285714285,162.4,27.7,29.4,136.7,26.5,28.0,6.995104253439207,0.42562171720184355,0.43075451309237905,4585.995714285715
2019-07-04 18:30:00+00:00,123.43749999999999,26.9125,27.325,135.5,27.4,27.7,113.5,26.5,27.0,6.275760246110959,0.24731895735399181,0.22656860623955394,3609.8156250000006
2019-07-04 18:40:00+00:00,98.88125,26.61875,26.475,114.7,27.0,27.1,87.9,26.2,26.1,8.010178420817686,0.17969882210706573,0.27446918466985304,2909.621875
2019-07-04 18:50:00+00:00,75.74375,25.85625,25.518750000000004,86.7,26.2,26.0,56.2,25.4,25.1,7.691984464362892,0.23371991785040477,0.32704484911603876,2299.375625
2019-07-04 19:00:00+00:00,44.25000000000001,25.06,24.564999999999998,72.0,26.1,25.1,22.0,24.1,23.9,15.765702281251306,0.6854886846929734,0.35284557528754507,1482.8110000000001
2019-07-04 19:10:00+00:00,25.977777777777774,23.955555555555556,23.394444444444442,31.7,24.2,23.9,17.1,23.8,22.9,4.154877439341347,0.1247219128924643,0.3152444844360017,1023.5727777777777
2019-07-04 19:20:00+00:00,16.538888888888888,23.644444444444442,22.511111111111113,24.4,23.8,22.8,9.8,23.4,22.3,4.129398031744477,0.13814835257889083,0.1906301898468502,540.455
2019-07-04 19:30:00+00:00,9.241666666666667,23.3,21.96666666666667,14.6,23.7,22.1,4.9,23.0,21.8,3.418787220726973,0.16514456476895348,0.10730867399773206,386.1858333333334
2019-07-04 19:40:00+00:00,3.225,23.055,21.479999999999997,8.5,23.3,21.8,0.0,22.9,21.3,2.388541726440501,0.12763022245616648,0.15761378513048543,357.6625
2019-07-04 19:50:00+00:00,0.42857142857142855,22.892857142857142,21.107142857142858,2.4,23.0,21.3,0.0,22.8,20.9,0.8939356124021903,0.04746311465493249,0.15915297775935738,286.8564285714286
2019-07-04 20:00:00+00:00,0.0,22.728571428571428,20.735714285714288,0.0,22.8,21.0,0.0,22.7,20.6,0.0,0.046880723093850295,0.13363062095621295,165.64357142857148
2019-07-04 20:10:00+00:00,0.0,22.5625,20.456249999999997,0.0,22.8,20.6,0.0,22.4,20.2,0.0,0.11474609652038906,0.08920949127381843,111.621875
2019-07-04 20:20:00+00:00,0.0,22.31875000000001,20.125,0.0,22.5,20.4,0.0,22.1,20.0,0.0,0.13275918047351723,0.11254628677422605,40.596875000000004
2019-07-04 20:30:00+00:00,0.0,22.130000000000003,19.994999999999997,0.0,22.4,20.1,0.0,22.0,19.7,0.0,0.1341640786499874,0.09445132413883511,10.485000000000003
2019-07-04 20:40:00+00:00,0.0,21.935,19.829999999999995,0.0,22.1,20.0,0.0,21.6,19.6,0.0,0.1308876577350528,0.1128576187293671,2.4205000000000014
2019-07-04 20:50:00+00:00,0.0,21.487499999999997,19.650000000000002,0.0,21.6,19.9,0.0,21.4,19.6,0.0,0.07187952884282756,0.08164965809277103,0.61875
2019-07-04 21:00:00+00:00,0.0,21.306250000000006,19.43125,0.0,21.4,19.6,0.0,21.1,19.2,0.0,0.06800735254367608,0.13022416570411838,0.5
2019-07-04 21:10:00+00:00,0.0,20.987499999999997,19.081249999999997,0.0,21.1,19.2,0.0,20.9,19.0,0.0,0.0885061203156795,0.0655108133567782,0.5
2019-07-04 21:20:00+00:00,0.0,20.773333333333337,18.906666666666673,0.0,21.0,19.1,0.0,20.6,18.8,0.0,0.12227992865708188,0.12227992865708155,0.03333333333333333
2019-07-04 21:30:00+00:00,0.0,20.569230769230767,18.707692307692305,0.0,20.6,18.8,0.0,20.5,18.6,0.0,0.048038446141527115,0.0640512615220347,0.0
2019-07-04 21:40:00+00:00,0.0,20.509999999999998,18.660000000000004,0.0,20.6,18.8,0.0,20.4,18.6,0.0,0.06407232755172061,0.06805570473787158,0.0
2019-07-04 21:50:00+00:00,0.0,20.318749999999998,18.61875,0.0,20.5,18.7,0.0,20.1,18.5,0.0,0.15585784121008156,0.06551081335677744,0.0
2019-07-04 22:00:00+00:00,0.0,20.026315789473685,18.36842105263158,0.0,20.1,18.6,0.0,19.9,18.2,0.0,0.056195148694902275,0.15653409844698035,0.0
2019-07-04 22:10:00+00:00,0.0,19.76923076923077,18.169230769230765,0.0,19.9,18.3,0.0,19.6,18.1,0.0,0.11094003924504503,0.06304251719561053,0.0
2019-07-04 22:20:00+00:00,0.0,19.60833333333333,17.958333333333332,0.0,19.7,18.1,0.0,19.5,17.7,0.0,0.06685579234215215,0.14433756729740588,0.0
